Company,Model,proportion_overshoots,LRuc,LRcci,LRcc
DABUR.NS,CMM,0.9635627530364372,inf,0.16783141616640512,inf
DABUR.NS,GARCH,0.9736842105263158,inf,0.8972036951155997,inf
DABUR.NS,LSTM_MDN_vanilla,0.004048582995951417,2.2807659928012773,0.016293324078943097,2.2970593168802202
DABUR.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
DABUR.NS,LSTM_MDN_3C,0.0020242914979757085,4.716926147953736,0.004065043449206515,4.720991191402943
PIDILITIND.NS,historical,0.9757085020242915,inf,1.1340237577702383,inf
PIDILITIND.NS,CMM,0.9757085020242915,inf,1.1340237577702383,inf
PIDILITIND.NS,GARCH,0.9817813765182186,inf,2.105507980656157,inf
PIDILITIND.NS,LSTM_MDN_vanilla,,,,
PIDILITIND.NS,LSTM_MDN_reg,,,,
PIDILITIND.NS,LSTM_MDN_3C,,,,
